epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.1209,2.2468,3.37624,1.68871,0.0492,0.45561,0.19521,0.09815,1.83192,3.34041,1.50914,0.000360046,0.000360046,0.000360046
2,37.2608,1.89181,1.86381,1.40778,0.3449,0.19038,0.18238,0.08349,1.87619,1.94633,1.48649,0.000723149,0.000723149,0.000723149
3,52.8135,1.86686,1.70515,1.38987,0.3588,0.21182,0.16848,0.09299,1.83909,1.98127,1.51567,0.00107892,0.00107892,0.00107892
4,69.3687,1.82765,1.64462,1.3608,0.4529,0.27993,0.2064,0.09521,1.83741,1.9304,1.49098,0.001078,0.001078,0.001078
5,85.6015,1.78324,1.58628,1.33511,0.44239,0.43063,0.22703,0.10912,1.74556,1.64248,1.43026,0.001067,0.001067,0.001067
6,101.965,1.77992,1.54763,1.33381,0.62227,0.33087,0.27434,0.1322,1.75658,1.47627,1.40883,0.00105601,0.00105601,0.00105601
7,118.449,1.75006,1.53787,1.31491,0.50406,0.39584,0.28038,0.13245,1.74505,1.45877,1.40132,0.00104501,0.00104501,0.00104501
8,134.123,1.76183,1.53311,1.31913,0.43759,0.3556,0.30024,0.15041,1.74143,1.43955,1.39738,0.00103401,0.00103401,0.00103401
9,148.339,1.7466,1.4925,1.31381,0.44914,0.34028,0.21468,0.10726,1.72949,1.45385,1.43462,0.00102301,0.00102301,0.00102301
10,164.119,1.74091,1.47706,1.31067,0.51121,0.359,0.28257,0.14586,1.7387,1.43269,1.414,0.00101201,0.00101201,0.00101201
11,180.722,1.70903,1.45429,1.30855,0.48801,0.36635,0.3012,0.15934,1.70542,1.40684,1.41474,0.00100101,0.00100101,0.00100101
12,197.403,1.71533,1.47022,1.30437,0.54912,0.40599,0.36316,0.21478,1.72259,1.37898,1.41498,0.000990012,0.000990012,0.000990012
13,213.76,1.74792,1.43366,1.30729,0.52634,0.43843,0.32792,0.17098,1.83123,1.5431,1.4504,0.000979013,0.000979013,0.000979013
14,227.546,1.71027,1.42946,1.28708,0.47723,0.30285,0.30884,0.15925,1.7137,1.29383,1.4215,0.000968014,0.000968014,0.000968014
